dataset,fold,threshold,precision,recall
DBLP-ACM,0,0.05,0.9757709251101322,0.9977477477477478
DBLP-ACM,0,0.06,0.9800884955752213,0.9977477477477478
DBLP-ACM,0,0.07,0.9821826280623608,0.9932432432432432
DBLP-ACM,0,0.08,0.9821826280623608,0.9932432432432432
DBLP-ACM,0,0.09,0.984375,0.9932432432432432
DBLP-ACM,0,0.1,0.984375,0.9932432432432432
DBLP-ACM,0,0.11,0.984375,0.9932432432432432
DBLP-ACM,0,0.12,0.984375,0.9932432432432432
DBLP-ACM,0,0.13,0.984375,0.9932432432432432
DBLP-ACM,0,0.14,0.984375,0.9932432432432432
DBLP-ACM,0,0.15,0.984375,0.9932432432432432
DBLP-ACM,0,0.16,0.984375,0.9932432432432432
DBLP-ACM,0,0.17,0.984375,0.9932432432432432
DBLP-ACM,0,0.18,0.984375,0.9932432432432432
DBLP-ACM,0,0.19,0.984375,0.9932432432432432
DBLP-ACM,0,0.2,0.984375,0.9932432432432432
DBLP-ACM,0,0.21,0.9843400447427293,0.990990990990991
DBLP-ACM,0,0.22,0.9843400447427293,0.990990990990991
DBLP-ACM,0,0.23,0.9843400447427293,0.990990990990991
DBLP-ACM,0,0.24,0.9843400447427293,0.990990990990991
DBLP-ACM,0,0.25,0.9843400447427293,0.990990990990991
DBLP-ACM,0,0.26,0.9843400447427293,0.990990990990991
DBLP-ACM,0,0.27,0.9843400447427293,0.990990990990991
DBLP-ACM,0,0.28,0.9843400447427293,0.990990990990991
DBLP-ACM,0,0.29,0.9843400447427293,0.990990990990991
DBLP-ACM,0,0.3,0.984304932735426,0.9887387387387387
DBLP-ACM,0,0.31,0.984304932735426,0.9887387387387387
DBLP-ACM,0,0.32,0.984304932735426,0.9887387387387387
DBLP-ACM,0,0.33,0.984304932735426,0.9887387387387387
DBLP-ACM,0,0.34,0.9909502262443439,0.9864864864864865
DBLP-ACM,0,0.35,0.9909502262443439,0.9864864864864865
DBLP-ACM,0,0.36,0.9909502262443439,0.9864864864864865
DBLP-ACM,0,0.37,0.9909502262443439,0.9864864864864865
DBLP-ACM,0,0.38,0.9909502262443439,0.9864864864864865
DBLP-ACM,0,0.39,0.9909502262443439,0.9864864864864865
DBLP-ACM,0,0.4,0.9909502262443439,0.9864864864864865
DBLP-ACM,0,0.41,0.9909502262443439,0.9864864864864865
DBLP-ACM,0,0.42,0.9909502262443439,0.9864864864864865
DBLP-ACM,0,0.43,0.9909502262443439,0.9864864864864865
DBLP-ACM,0,0.44,0.9909502262443439,0.9864864864864865
DBLP-ACM,0,0.45,0.9909502262443439,0.9864864864864865
DBLP-ACM,0,0.46,0.9931818181818182,0.9842342342342343
DBLP-ACM,0,0.47,0.9931662870159453,0.9819819819819819
DBLP-ACM,0,0.48,0.9931662870159453,0.9819819819819819
DBLP-ACM,0,0.49,0.9931662870159453,0.9819819819819819
DBLP-ACM,0,0.5,0.9931662870159453,0.9819819819819819
DBLP-ACM,0,0.51,0.9931662870159453,0.9819819819819819
DBLP-ACM,0,0.52,0.9931662870159453,0.9819819819819819
DBLP-ACM,0,0.53,0.9931662870159453,0.9819819819819819
DBLP-ACM,0,0.54,0.9931662870159453,0.9819819819819819
DBLP-ACM,0,0.55,0.9931662870159453,0.9819819819819819
DBLP-ACM,0,0.56,0.9931662870159453,0.9819819819819819
DBLP-ACM,0,0.57,0.9931662870159453,0.9819819819819819
DBLP-ACM,0,0.58,0.9931662870159453,0.9819819819819819
DBLP-ACM,0,0.59,0.9931662870159453,0.9819819819819819
DBLP-ACM,0,0.6,0.9931662870159453,0.9819819819819819
DBLP-ACM,0,0.61,0.9931662870159453,0.9819819819819819
DBLP-ACM,0,0.62,0.9931662870159453,0.9819819819819819
DBLP-ACM,0,0.63,0.9931662870159453,0.9819819819819819
DBLP-ACM,0,0.64,0.9931662870159453,0.9819819819819819
DBLP-ACM,0,0.65,0.9931662870159453,0.9819819819819819
DBLP-ACM,0,0.66,0.9954337899543378,0.9819819819819819
DBLP-ACM,0,0.67,0.9954337899543378,0.9819819819819819
DBLP-ACM,0,0.68,0.9954337899543378,0.9819819819819819
DBLP-ACM,0,0.69,0.9954337899543378,0.9819819819819819
DBLP-ACM,0,0.7,0.9954337899543378,0.9819819819819819
