scheme,candidate_pairs,candidates_pct_of_space,true_matches_kept,pairs_completeness,recall_ceiling,reduction_ratio,pair_quality,matches_lost
exact on title,113,0.0026,51,0.0392,0.0392,0.999974,0.451327,1249
tfidf title top-1,1363,0.031,793,0.61,0.61,0.99969,0.581805,507
exact on manufacturer,2345,0.0533,60,0.0462,0.0462,0.999467,0.025586,1240
tfidf title top-5,6815,0.155,1205,0.9269,0.9269,0.99845,0.176816,95
tfidf title top-10,13630,0.31,1262,0.9708,0.9708,0.9969,0.09259,38
tfidf title top-20,27260,0.62,1286,0.9892,0.9892,0.9938,0.047175,14
tfidf title top-50,68150,1.5499,1292,0.9938,0.9938,0.984501,0.018958,8
shared title token,478994,10.8936,1296,0.9969,0.9969,0.891064,0.002706,4
full cartesian,4397038,100.0,1300,1.0,1.0,0.0,0.000296,0
